Name,Cuisine,Neighbourhood,Address,Tier,Price,Book,Sun16,Mon17,Tue18,Wed19,Thu20,Why Bob,Order / note,URL,Hours source,Must
Ramen Ichiraku,Ramen,Kamppi mall 5F,Urho Kekkosen katu 1,cheap-everyday,VERIFY,Walk-in,12–19,11–21,11–21,11–21,11–21 morning,"Emergency bowl. Mall. Time Out: reliable, not soulful.",Tonkotsu / tan tan,https://www.kamppihelsinki.fi/en/shops-and-services/other-stores/ramen-ichiraku/-/110,Official Kamppi listing,5
Sushi Wagocoro,Sushi neighbourhood,Taka-Töölö,Runeberginkatu 63 A 21,neighbourhood,VERIFY,Book/call — tiny,VERIFY,VERIFY,VERIFY,VERIFY,VERIFY,Japanese-owned small room. Confirm before crossing town.,Nigiri,https://www.myhelsinki.fi/places/sushi-wagocoro/,MyHelsinki — hours VERIFY,6
Kabuki,Traditional Japanese,Kamppi,Lapinlahdenkatu 12,neighbourhood,VERIFY,Book — small room,VERIFY,VERIFY,VERIFY,VERIFY,VERIFY,"Old-school Japanese / tatami, not Nordic omakase theatre",Sushi / set,https://www.myhelsinki.fi/places/kabuki/,MyHelsinki — hours VERIFY,6
Sansar (ex-Satkar),Nepalese,Kamppi,Fredrikinkatu 46,cheap-everyday,VERIFY,Walk-in lunch,12–21,10:30–21; lunch to 16,same,same,lunch if time,"Kamppi since 1998. Ordinary diaspora lunch. Search Sansar, not Satkar.",Tandoor / curry lunch,https://www.sansar.fi/,Official,7
Restaurant Mountain,Nepalese,Taka-Töölö,Nordenskiöldinkatu 8,cheap-everyday,VERIFY,Walk-in lunch,12:30–22,10:30–22:30; lunch to 15,same,same,lunch if time,Family-owned since 2000. The kebabpizza analogue.,Dal / tandoor,https://ravintolamountain.com/en/home/,Official,7
BasBas (Baskeri & Basso),Bistro / natural wine,Punavuori,Tehtaankatu 27–29 courtyard,hot,VERIFY,Book,CLOSED,CLOSED,from 16:00,from 16:00,too late,Ingredient-led small plates. Closed Sun–Mon so Tue/Wed.,Share plates + wine,https://basbas.fi/bistro/en/,Official,7
Nolita,Seasonal bistro / wine,Punavuori,Kankurinkatu 6,hot,VERIFY,Book dinner,CLOSED,CLOSED,17–22,17–22,too late,Closed Sun–Mon. In-house sourdough with dinner.,Shareable bistro,https://nolita.fi/en/,Official,6
The Alley,Small plates / wine,Kallio,Fleminginkatu 8,hot,VERIFY,Book / some walk-in,CLOSED,CLOSED,17–23 kitchen 21:30,17–23 kitchen 21:30,too late,Kallio-scale BasBas cousin. Closed Sun–Mon.,Small plates,https://www.thealleyhelsinki.com/,Official,6
Way Bakery Kallio,Bakery / wine,Kallio,Agricolankatu 9,neighbourhood,VERIFY,No reservations,09–16,08–19,08–19,08–19,08–19 morning,Sourdough that can hold a Kallio morning. Not a Fazer clone.,Bread + coffee; wine later,https://www.waybakery.fi/kallio,Official,7
Café Succès,Traditional café,Ullanlinna,Korkeavuorenkatu 2,neighbourhood,VERIFY,Walk-in,11–17,08–18,08–18,08–18,08–18 morning,1957 family café; giant cinnamon bun. Near ADM.,Korvapuusti,https://succes.fi/en/frontpage/,Official,6
Eromanga,Bakery / lihapiirakka,Kaartinkaupunki,Pohjoinen Makasiinikatu 6,neighbourhood,VERIFY,Walk-in,CLOSED,07:30–15:30,07:30–15:30,07:30–15:30,07:30–15:30 if buffer,"1946-recipe meat pie. Savoury bakery, not another bun.",Lihapiirakka,https://eromanga.fi/home/,Official,5
Kannas,Finnish port classic,Hietalahti,Eerikinkatu 43,neighbourhood,VERIFY,Book dinner,14–24 kitchen 22:30,16–24 kitchen 22:30,same,same,too late,Since 1939; sailors/dockworkers room. Less polished than Sea Horse.,Finnish classics,https://kannas.fi/english/,Official,6
Cella,Finnish neighbourhood classic,Kallio,Fleminginkatu 15,neighbourhood,VERIFY,Call / walk-in,15–22,15–23,hours not yet published*,hours not yet published*,too late,Since 1969; non-grand Kallio classic. Official page only lists through Mon 17 Aug — VERIFY Tue–Thu.,Finnish pub-restaurant,https://www.ravintolacella.fi/,Official through 17 Aug,6
Carelia,French brasserie,Taka-Töölö,Mannerheimintie 56,neighbourhood,VERIFY,Book,CLOSED,CLOSED,16–23,16–23,too late,1920s pharmacy room. Summer break ended 12 Aug 2026. Closed Sun–Mon.,"Brasserie, not a Finnish-national menu",https://ravintolacarelia.fi/en/home-2/,Official,6
Harju 8,Bistro / natural wine,Kallio,Harjutori 8,neighbourhood,VERIFY lunch prices,Walk-in — no reservation,11–late; kitchen 11–22,same; weekday lunch 11–15,same,same,too late,Spontaneous Kallio living room. Official: no reservations.,Wine + plates; expect a wait,https://harju8.fi/info/,Official kitchen 11–22,6
Lohtu,Vegan hall lunch,Hakaniemi Market Hall 2F,Hämeentie 1 A,cheap-everyday,VERIFY,Walk-in lunch,CLOSED (hall),lunch 11–15:30; porridge 08:30–10:30,same,same,lunch if buffer,Plant-based hall lunch. Not a dinner. Hall closed Sunday.,Vegan comfort lunch,https://www.ravintolalohtu.fi/en/,Official,6
Sea Horse,Classic Finnish,Ullanlinna,Kapteeninkatu 11,icon,VERIFY,Book / walk-in,15–24,15–24,15–24,15–24,15–24 (too late to start),1933 institution; onion steak; near ADM,Onion steak / Baltic herring / vorschmack,https://www.seahorse.fi/en/restaurant-sea-horse/,Official summer 8.6.2026+,8
Kosmos,Helsinki classic,Kamppi,Kalevankatu 3,icon,Menu printed; VERIFY,Phone / email,CLOSED,11:30–24,11:30–24,11:30–24,11:30–24,"1924; blinis, vorschmack, Baltic herring. Closed Sundays.",Fried Baltic herrings 22€ on fetched menu,https://kosmos.fi/en/our-food/,Official,7
Elite,Artist restaurant,Töölö,Eteläinen Hesperiankatu 22,icon,VERIFY,Book,13–22,12–22,12–22,12–23,12–23,Since 1932; onion steak cousin in Töölö,Classic Finnish,https://elite.fi/en/front-page/,Official,6
Yes Yes Yes,Vegetarian seasonal,Punavuori,Iso Roobertinkatu 1,hot,VERIFY,Walk-in / book,VERIFY,VERIFY,VERIFY,VERIFY,VERIFY,Local-farm veg; wine. Hours not on official info page.,Seasonal plates,https://yesyesyes.fi/,Official address; hours VERIFY,6
Löyly Restaurant,Finnish casual / terrace,Hernesaari,Hernesaarenranta 4,neighbourhood,VERIFY,Walk-in terrace,Kitchen 11–22,Kitchen 11–23,Kitchen 11–23,Kitchen 11–23,Kitchen 11–23,After sauna — not a destination kitchen,Lohikeitto,https://www.loylyhelsinki.fi/en/info,Official kitchen hours,6
Finnjävel Salonki,Finnish fine dining,Töölönlahti,Ainonkatu 3,icon,Salonki 108e / 138e official,Book,CLOSED,CLOSED,17–23,17–23,Leave 15:00,Skip unless you decide to. Sali lunch exists Tue–Fri 11:30–15:00 — Thursday lunch collides with 15:00 out.,Tasting,https://finnjavel.fi/en/,Official hours + menus,3
Olo,Nordic 1★,Kruununhaka,Pohjoisesplanadi 5,icon,Menu Olo 189e; Selected 109e official,Book DinnerBooking,CLOSED,CLOSED,18–24,18–24,too late,"Blow-budget alternative to Nolla on Tuesday. Polished harbour room, not the locked plan.",Selected 109e if you must,https://olo-ravintola.fi/en/menu-olo/,Official hours + menu,2
Palace,Nordic 2★,South Harbour,"Eteläranta 10, 10th floor",icon,250e inc water/coffee official,Book DinnerBooking,CLOSED,CLOSED,CLOSED,dinner (clock VERIFY),too late,Biggest splurge. Wednesday only in this window. Skip unless you choose the landmark room.,Tasting; wine pairing 220e official,https://palacerestaurant.fi/en/menu,Official service days + menu,2
Nepalese (Kallio),Nepalese,Kallio,Pick a busy room,cheap-everyday,VERIFY,Walk-in,Many open,Many open,Many open,Many open,Light only,Helsinki's kebabpizza analogue — ordinary diaspora lunch,Dal bhat / momo,Walk Hämeentie,"Neighbourhood observation, not a single venue",6
Savotta / Zetor / Kappeli,Tourist Finnish,Senate Square / Esplanadi,—,skip,—,—,—,—,—,—,—,Postcard Finland,Don't,—,—,0
Sushi buffet chains,Buffet,Everywhere,—,skip,—,—,—,—,—,—,—,Not Domo,Don't,—,—,0
Momotoko,Ramen CLOSED,Yliopistonkatu 5 (former),—,skip,—,—,DEAD,DEAD,DEAD,DEAD,DEAD,Cathywong Oy bankruptcy May 2025; chain said permanently closed,Do not go,https://www.hs.fi/helsinki/art-2000011230551.html,HS 15.5.2025 + MTV 31.5.2025,0
Wino,Wine bar CLOSED this trip,Fleminginkatu 11,—,skip,—,—,CLOSED 1.6–3.9.2026,same,same,same,same,Facade renovation. Do not go.,Don't,https://www.wino.fi/restaurant-wino/,Official closure notice,0
Restaurant Kuu,Töölö classic CLOSED,Töölönkatu 27,—,skip,—,—,CLOSED from 1.7.2026,same,same,same,same,Housing-company renovation; reopen autumn. Don't google-walk there.,Don't,https://ravintolakuu.fi/en/kuu-closed-from-1-7/,Official,0
Adzika / Satkar / Sandro,Moved or dead names,stale maps,—,skip,—,—,TRAP,TRAP,TRAP,TRAP,TRAP,Adzika seeking premises; Satkar is now Sansar; Sandro closed 28 Feb.,Search current names,See research/neighbourhood-eateries.md,Official closure pages,0
