id,org,programme,ask_type,window,fit,collision,status,source_url,accessed_at,confidence,reverify_after,claim_ids,artifact_path,resume_variant,ask_one_liner,eligibility_note,notes
opp-swiss-epi-2027,ISPM Bern,Swiss Epidemiology Winter School Wengen,academy,winter-2026-27,medium,LINK-S,watch,https://www.epi-winterschool.org/,2026-08-22,high,2026-08-31,claim-swiss-epi-school;claim-swiss-epi-course5,,,Course 5 climate change epi 21-23 Jan 2027; school 18-23 Jan starts day after stated window,Course 5: PhD early-career or advanced researchers; R and regression expected; fee table has no UG band,Prelim registration 31 Aug-6 Sep 2026; open 14 Sep 2026 09:00 CEST. Human stretch after LINK-S not a decided apply
opp-pockets-peace-2027,Nansen Center for Peace and Dialogue,Pockets of Peace alumni gathering,academy,summer-2027,low,LiA,watch,https://peace.no/en/category/courses/,2026-08-22,medium,2027-01-15,claim-pockets-june-2027,,,Three days June 2027 Lillehammer; not NEWDAY,NCPD course alumni or other dialogue qualifications — NEWDAY does not auto-qualify,Plans and deadline unpublished
opp-who-wpro,WHO Western Pacific,Internship Stellis cycle,internship,summer-2027,low,LiA,killed,https://www.who.int/westernpacific/about/careers/internships-and-volunteering,2026-08-22,high,2028-04-01,claim-who-wpro-eligibility,,,Do not apply May 2027,Three years full-time university before assignment; graduate/postgraduate programme text; age 20+,Notices Nov Feb May Aug — not continuous. May can start 1 June. Re-read 2028
opp-nansen-other-courses,Nansen Academy,Other short courses (non-NEWDAY),academy,either,medium,none,watch,https://nansenskolen.no/kurs/,2026-08-22,medium,2026-11-01,,,,Scan for winter or summer 2027 courses that are residential dialogue-adjacent,Language of instruction often Norwegian — check each course,Folk-high-school DNA; not automatic English academies
opp-asia-society-hk,Asia Society Hong Kong Center,Year-round internship,internship,either,medium,LINK-S,watch,https://asiasociety.org/hong-kong/career-opportunities,2026-08-22,high,2026-12-01,,,,Not a companion to Shanghai LINK-S; other term only,University student 18+; HK permanent ID or internship visa,Unpaid plus daily allowance; internship@asiasociety.org.hk
opp-carboncare-innolab,CarbonCare InnoLab,Standing intern / volunteer,internship,either,medium,LINK-S,watch,http://www.ccinnolab.org/en/JoinUs,2026-08-22,medium,2026-12-01,,,,HK standing call; not beside Shanghai LINK-S,No published dates or eligibility detail on Join Us,Other term only
opp-cuhk-chbr-visiting,CUHK CHBR,Visiting student intern,internship,either,low,LINK-S,watch,https://www.chbr.sphpc.cuhk.edu.hk/visiting-student-intern-1,2026-08-22,high,2026-12-01,,,,1-6 months unpaid; collides with LINK-S if taken as a month,Framed as visiting (often postgraduate) students; chbr@cuhk.edu.hk,Not a 3-week winter desk
opp-civic-exchange-summer,Civic Exchange,Summer internship (think tank),internship,summer-2027,medium,LiA,watch,https://civic-exchange.org/job-internship/civic-exchange-internship-programme/,2026-08-22,medium,2026-12-01,,,,Watch 2027 page; 2026 cycle is closed; winter visit is not advertised,HK residency or valid visa; full-time 6-8 weeks,2026 apply 15 Jan-15 Mar; internship May-Sep 2026. Do not infer a winter visit
opp-hko-summer-placement,Hong Kong Observatory,Summer Placement Programme,internship,summer-2027,medium,LiA,watch,https://www.hko.gov.hk/en/education/edu03course/course/Summer-Placement-Programme-2026.html,2026-08-22,medium,2026-12-01,,,,Watch 2027 page; 2026 is summer only — not a winter attachment,Full-time post-secondary; local study or HKSAR PR studying overseas,2026: 8 weeks from 1 Jun; deadline 15 Apr 2026
opp-sei-hq-internship,SEI Headquarters Stockholm,Educational internship,internship,summer-2027,low,LiA,killed,https://www.sei.org/people/jobs/internships-stockholm-hq/,2026-08-22,high,2027-04-01,,,,Officially no internships in summer months,Unpaid; preferably part of studies; partner-uni priority; Jan-June and Aug-Jan periods,Not a 3-week winter desk either
opp-prio-internship,Peace Research Institute Oslo,Formal internship / placement,internship,either,low,none,killed,https://www.prio.org/about/FAQ,2026-08-22,high,2027-04-01,,,,FAQ: PRIO does not formally offer internships or work placements,Occasional open applications need funding plus overhead; not an advertised scheme,Do not hunt as a winter internship
